State,City,Avg Rent,Foot Traffic,Avg Income,Competitor Count,Growth Index,Category,Detailed Idea,Investors
West Bengal,Kolkata,26362,19602,109312,7,6.41,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Delhi,New Delhi,95452,12322,158265,8,8.18,Logistics,Last-mile delivery optimization software,Blume Ventures
Telangana,Hyderabad,21151,1222,22150,23,6.93,AI/ML,Predictive analytics for businesses,SoftBank
Gujarat,Vadodara,51863,2189,82223,50,3.26,AI/ML,Predictive analytics for businesses,SoftBank
Telangana,Hyderabad,64052,43666,76062,36,6.76,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
West Bengal,Kolkata,68376,18532,37862,42,6.75,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Madhya Pradesh,Indore,63004,12819,85736,50,3.07,E-commerce,Online marketplace for niche products,Elevation Capital
Gujarat,Surat,68000,13271,55762,36,6.59,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Maharashtra,Nagpur,42691,38919,100731,13,4.62,Fintech,AI-driven financial advisory platform,Sequoia Capital
Tamil Nadu,Coimbatore,73139,28467,145206,1,6.14,Renewable Energy,Solar panel efficiency optimizer,Matrix Partners
Gujarat,Vadodara,74372,15015,129962,3,3.47,E-commerce,Online marketplace for niche products,Sequoia Capital
Rajasthan,Jodhpur,64895,22204,92359,38,6.14,E-commerce,Online marketplace for niche products,General Catalyst
Gujarat,Ahmedabad,44049,13353,144935,21,6.98,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Karnataka,Bangalore,19468,6693,155276,40,5.53,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Karnataka,Bangalore,49375,6643,146255,18,6.1,Logistics,Last-mile delivery optimization software,Blume Ventures
Gujarat,Vadodara,39359,49138,181314,37,6.94,Fintech,AI-driven financial advisory platform,Elevation Capital
Tamil Nadu,Madurai,33368,12684,66872,42,2.47,Fintech,AI-driven financial advisory platform,Elevation Capital
Madhya Pradesh,Bhopal,43875,30641,198390,15,9.37,AI/ML,Predictive analytics for businesses,Sequoia Capital
Karnataka,Hubli,68159,4212,123620,42,9.06,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Madhya Pradesh,Indore,58828,36610,49270,44,5.31,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Rajasthan,Jaipur,47516,42775,182358,10,6.81,E-commerce,Online marketplace for niche products,General Catalyst
Madhya Pradesh,Indore,74510,21271,39859,40,2.76,Edtech,Gamified learning platform for kids,Blume Ventures
Telangana,Hyderabad,84498,23543,39111,25,7.35,FoodTech,Subscription-based organic meal plans,Tiger Global
Delhi,New Delhi,19482,4763,156155,41,1.67,SaaS,Cloud-based HR management software,Y Combinator
Maharashtra,Nagpur,95664,49039,98391,10,7.03,Fintech,AI-driven financial advisory platform,Matrix Partners
Maharashtra,Pune,25416,34026,90229,12,9.64,Real Estate,AI-powered property valuation tool,Sequoia Capital
Karnataka,Mysore,87660,7567,57591,5,5.91,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Uttar Pradesh,Noida,80724,6116,95772,22,9.17,Real Estate,AI-powered property valuation tool,Tiger Global
Karnataka,Bangalore,74999,7559,157893,25,7.71,Real Estate,AI-powered property valuation tool,Matrix Partners
Karnataka,Hubli,55141,21454,33948,33,5.57,Edtech,Gamified learning platform for kids,Blume Ventures
Uttar Pradesh,Lucknow,77308,22351,193435,12,4.79,Healthcare,Telemedicine platform with AI diagnosis,Elevation Capital
Karnataka,Mysore,25935,12782,112422,6,7.36,Real Estate,AI-powered property valuation tool,Tiger Global
Madhya Pradesh,Indore,14133,22283,84108,32,1.56,Edtech,Gamified learning platform for kids,Accel Partners
Karnataka,Hubli,34548,22257,176729,6,8.64,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Telangana,Hyderabad,88617,47717,123433,31,7.2,SaaS,Cloud-based HR management software,Tiger Global
Delhi,New Delhi,22504,6025,137198,36,9.46,Fintech,AI-driven financial advisory platform,Tiger Global
Maharashtra,Nagpur,62129,30773,197443,3,2.27,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Delhi,New Delhi,46209,12152,74397,21,2.92,Fintech,AI-driven financial advisory platform,Accel Partners
Telangana,Hyderabad,51213,16089,20701,41,9.35,Fintech,AI-driven financial advisory platform,SoftBank
Tamil Nadu,Madurai,16286,9088,167237,43,2.25,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Karnataka,Mysore,16331,18163,178218,2,3.62,Edtech,Gamified learning platform for kids,Sequoia Capital
Maharashtra,Pune,84603,4716,76613,41,7.38,Logistics,Last-mile delivery optimization software,Blume Ventures
Madhya Pradesh,Bhopal,33656,33410,65573,46,5.5,FoodTech,Subscription-based organic meal plans,SoftBank
Telangana,Hyderabad,82765,25535,191311,39,8.25,E-commerce,Online marketplace for niche products,Elevation Capital
Gujarat,Surat,81279,32371,170874,24,8.98,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Tamil Nadu,Chennai,95921,18318,47544,24,3.09,FoodTech,Subscription-based organic meal plans,SoftBank
Karnataka,Mysore,61106,2106,37371,31,3.14,Fintech,AI-driven financial advisory platform,Accel Partners
Uttar Pradesh,Kanpur,22122,24238,109611,14,6.02,Fintech,AI-driven financial advisory platform,Tiger Global
West Bengal,Kolkata,41683,44628,185829,37,2.23,E-commerce,Online marketplace for niche products,Matrix Partners
Gujarat,Vadodara,69882,23983,99933,39,7.62,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Telangana,Warangal,65371,32107,151250,42,6.32,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Gujarat,Surat,15086,21936,31752,12,2.02,Real Estate,AI-powered property valuation tool,Accel Partners
Tamil Nadu,Chennai,15207,48930,39152,10,8.16,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Karnataka,Hubli,52597,8014,198062,23,1.07,Edtech,Gamified learning platform for kids,Y Combinator
Maharashtra,Nagpur,62574,25213,148373,1,1.99,SaaS,Cloud-based HR management software,General Catalyst
Karnataka,Mysore,73650,12797,134883,10,4.26,E-commerce,Online marketplace for niche products,Sequoia Capital
Uttar Pradesh,Lucknow,93114,29745,186122,47,7.5,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Gujarat,Vadodara,92189,34070,59741,15,5.3,AI/ML,Predictive analytics for businesses,Matrix Partners
Delhi,New Delhi,43449,13690,81645,17,1.93,SaaS,Cloud-based HR management software,Blume Ventures
Rajasthan,Jaipur,90554,12898,46195,13,8.34,AI/ML,Predictive analytics for businesses,Blume Ventures
Gujarat,Vadodara,46784,38841,21328,24,2.33,Logistics,Last-mile delivery optimization software,Accel Partners
West Bengal,Howrah,28224,21108,77268,19,7.02,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Delhi,New Delhi,49194,27786,30582,10,7.9,Fintech,AI-driven financial advisory platform,General Catalyst
Rajasthan,Udaipur,82384,16348,192034,32,8.77,E-commerce,Online marketplace for niche products,Sequoia Capital
Tamil Nadu,Madurai,67402,42393,59669,48,1.79,E-commerce,Online marketplace for niche products,General Catalyst
Delhi,New Delhi,78895,7650,162001,39,3.26,Edtech,Gamified learning platform for kids,Lightspeed Ventures
West Bengal,Howrah,42270,6879,45407,5,7.83,Healthcare,Telemedicine platform with AI diagnosis,Sequoia Capital
Maharashtra,Nagpur,61664,28616,190333,22,2.36,Logistics,Last-mile delivery optimization software,SoftBank
Telangana,Warangal,91721,6882,68296,8,8.31,Logistics,Last-mile delivery optimization software,Blume Ventures
Madhya Pradesh,Indore,74032,7407,35448,13,9.98,Edtech,Gamified learning platform for kids,General Catalyst
West Bengal,Kolkata,88367,49862,158077,35,5.85,Logistics,Last-mile delivery optimization software,Matrix Partners
Tamil Nadu,Chennai,25113,7501,193152,23,9.2,Logistics,Last-mile delivery optimization software,SoftBank
Maharashtra,Mumbai,34923,24588,95950,22,4.6,SaaS,Cloud-based HR management software,General Catalyst
Maharashtra,Nagpur,22654,17662,160808,17,5.03,Renewable Energy,Solar panel efficiency optimizer,Lightspeed Ventures
Telangana,Hyderabad,94314,13282,174952,12,5.42,AI/ML,Predictive analytics for businesses,Accel Partners
Madhya Pradesh,Indore,47374,21735,134741,22,3.22,SaaS,Cloud-based HR management software,Tiger Global
Karnataka,Mysore,32867,12335,130236,32,2.86,FoodTech,Subscription-based organic meal plans,Blume Ventures
Maharashtra,Mumbai,24158,28841,159871,22,3.55,Logistics,Last-mile delivery optimization software,Elevation Capital
Rajasthan,Udaipur,20558,2643,133279,32,3.47,Edtech,Gamified learning platform for kids,Matrix Partners
Rajasthan,Jodhpur,89115,4561,80890,19,7.39,Logistics,Last-mile delivery optimization software,Y Combinator
Gujarat,Vadodara,30796,44164,69342,41,9.14,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Telangana,Hyderabad,34221,8584,103364,22,7.57,Fintech,AI-driven financial advisory platform,Sequoia Capital
Uttar Pradesh,Kanpur,46150,16509,130621,17,2.54,Real Estate,AI-powered property valuation tool,Accel Partners
Delhi,New Delhi,30122,32087,30084,44,8.74,Real Estate,AI-powered property valuation tool,Matrix Partners
Delhi,New Delhi,78472,32657,195111,21,8.01,AI/ML,Predictive analytics for businesses,Accel Partners
Gujarat,Vadodara,82222,42050,140009,14,9.4,E-commerce,Online marketplace for niche products,Tiger Global
Madhya Pradesh,Indore,51494,46572,144281,21,3.62,AI/ML,Predictive analytics for businesses,SoftBank
Maharashtra,Pune,94410,22977,92705,24,4.98,Fintech,AI-driven financial advisory platform,Sequoia Capital
Telangana,Warangal,85995,8000,157271,43,3.63,Logistics,Last-mile delivery optimization software,Accel Partners
West Bengal,Kolkata,12472,9639,109446,48,5.04,Logistics,Last-mile delivery optimization software,General Catalyst
Telangana,Hyderabad,62027,20129,23311,17,2.69,FoodTech,Subscription-based organic meal plans,Matrix Partners
Maharashtra,Pune,66077,26214,104011,1,9.44,FoodTech,Subscription-based organic meal plans,Matrix Partners
West Bengal,Kolkata,26686,9245,153271,49,8.99,Fintech,AI-driven financial advisory platform,Matrix Partners
Karnataka,Mysore,31832,17232,188075,17,9.42,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Tamil Nadu,Chennai,36177,45413,95585,13,3.74,E-commerce,Online marketplace for niche products,Lightspeed Ventures
Delhi,New Delhi,58683,25844,125312,49,8.6,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Delhi,New Delhi,22975,25557,80517,20,4.82,E-commerce,Online marketplace for niche products,Tiger Global
Maharashtra,Nagpur,42744,23219,73951,45,9.5,Edtech,Gamified learning platform for kids,Accel Partners
Karnataka,Mysore,81953,16146,185984,9,2.45,SaaS,Cloud-based HR management software,Y Combinator
Karnataka,Bangalore,31814,26589,106621,13,2.87,Edtech,Gamified learning platform for kids,Matrix Partners
Maharashtra,Pune,97951,14284,82408,39,5.11,AI/ML,Predictive analytics for businesses,Accel Partners
Rajasthan,Jodhpur,53526,29518,120706,49,6.81,FoodTech,Subscription-based organic meal plans,Y Combinator
Rajasthan,Jodhpur,16931,3649,93287,26,5.49,Edtech,Gamified learning platform for kids,SoftBank
Karnataka,Hubli,45475,12305,186565,23,4.74,Edtech,Gamified learning platform for kids,General Catalyst
Delhi,New Delhi,81883,35795,169576,15,4.68,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Maharashtra,Nagpur,20164,40141,183336,19,6.39,FoodTech,Subscription-based organic meal plans,Accel Partners
Maharashtra,Pune,48315,14200,95228,24,7.39,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Delhi,New Delhi,60168,6292,79900,25,3.3,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Gujarat,Surat,29638,15756,148243,48,1.13,Real Estate,AI-powered property valuation tool,General Catalyst
Madhya Pradesh,Indore,12576,40813,39194,29,6.74,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Madhya Pradesh,Bhopal,42827,12531,36651,31,4.9,SaaS,Cloud-based HR management software,SoftBank
Karnataka,Bangalore,32521,26087,137969,50,6.61,Real Estate,AI-powered property valuation tool,Y Combinator
Karnataka,Mysore,59994,7564,26914,18,2.75,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Gujarat,Vadodara,27492,5176,43010,28,6.7,FoodTech,Subscription-based organic meal plans,Accel Partners
West Bengal,Howrah,89929,41124,197498,24,3.74,SaaS,Cloud-based HR management software,Y Combinator
Tamil Nadu,Chennai,44782,42800,81480,17,7.45,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Telangana,Warangal,82409,29432,59379,37,9.64,Real Estate,AI-powered property valuation tool,Tiger Global
West Bengal,Howrah,66763,6678,125963,46,3.07,Fintech,AI-driven financial advisory platform,Tiger Global
Telangana,Hyderabad,93698,8028,138053,33,6.85,Renewable Energy,Solar panel efficiency optimizer,Blume Ventures
Maharashtra,Pune,36791,42106,78951,25,9.63,Real Estate,AI-powered property valuation tool,Elevation Capital
Madhya Pradesh,Indore,50804,43539,30592,26,9.91,Logistics,Last-mile delivery optimization software,Y Combinator
Rajasthan,Udaipur,72389,41921,125028,31,9.51,Fintech,AI-driven financial advisory platform,Matrix Partners
Karnataka,Mysore,52018,22160,142809,26,2.79,Fintech,AI-driven financial advisory platform,Accel Partners
West Bengal,Kolkata,49050,9620,97041,20,3.44,Fintech,AI-driven financial advisory platform,Elevation Capital
Gujarat,Surat,44394,18695,183835,27,2.08,Logistics,Last-mile delivery optimization software,SoftBank
Telangana,Hyderabad,97160,25214,77124,10,7.79,Logistics,Last-mile delivery optimization software,Sequoia Capital
Uttar Pradesh,Kanpur,79775,23123,171292,21,4.89,Real Estate,AI-powered property valuation tool,Matrix Partners
Rajasthan,Udaipur,19048,40843,123813,7,6.08,Logistics,Last-mile delivery optimization software,Blume Ventures
Karnataka,Mysore,60824,7829,167905,27,5.09,Logistics,Last-mile delivery optimization software,Tiger Global
Delhi,New Delhi,60304,8187,56354,8,3.66,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Maharashtra,Pune,66655,17113,169478,42,3.69,SaaS,Cloud-based HR management software,Accel Partners
Karnataka,Bangalore,35154,9412,166369,7,2.02,Logistics,Last-mile delivery optimization software,Accel Partners
Telangana,Hyderabad,96933,7342,62967,13,3.81,SaaS,Cloud-based HR management software,Accel Partners
Telangana,Hyderabad,87369,40551,116434,43,9.37,E-commerce,Online marketplace for niche products,Lightspeed Ventures
Uttar Pradesh,Lucknow,83599,28171,112848,48,2.34,SaaS,Cloud-based HR management software,General Catalyst
Maharashtra,Mumbai,33727,27464,157063,16,7.16,E-commerce,Online marketplace for niche products,Accel Partners
Rajasthan,Jaipur,59766,30925,110152,14,2.47,Edtech,Gamified learning platform for kids,General Catalyst
Delhi,New Delhi,58688,27790,130654,30,4.67,Edtech,Gamified learning platform for kids,Y Combinator
Karnataka,Hubli,52152,12161,162411,6,1.76,Logistics,Last-mile delivery optimization software,General Catalyst
West Bengal,Howrah,17131,12532,70755,31,4.19,Edtech,Gamified learning platform for kids,Accel Partners
Telangana,Hyderabad,44598,45500,83783,40,5.52,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Gujarat,Ahmedabad,69363,35274,181254,33,3.29,Fintech,AI-driven financial advisory platform,SoftBank
West Bengal,Kolkata,68365,19435,148937,50,3.23,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Tamil Nadu,Chennai,72996,46662,149961,17,9.2,SaaS,Cloud-based HR management software,SoftBank
Tamil Nadu,Madurai,23416,28811,138675,40,1.57,Edtech,Gamified learning platform for kids,Elevation Capital
Gujarat,Surat,64426,10616,61543,46,6.7,AI/ML,Predictive analytics for businesses,Blume Ventures
West Bengal,Howrah,33498,36818,35230,15,4.31,SaaS,Cloud-based HR management software,SoftBank
Rajasthan,Jaipur,26365,6308,92621,23,6.65,Edtech,Gamified learning platform for kids,Elevation Capital
Rajasthan,Udaipur,72412,23034,158582,3,3.28,Logistics,Last-mile delivery optimization software,Matrix Partners
Tamil Nadu,Madurai,28784,37130,67039,42,8.56,SaaS,Cloud-based HR management software,General Catalyst
Gujarat,Vadodara,90881,43288,60379,39,9.21,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Gujarat,Ahmedabad,23018,37197,76502,49,8.5,SaaS,Cloud-based HR management software,Tiger Global
Maharashtra,Mumbai,29976,27043,111461,21,8.73,E-commerce,Online marketplace for niche products,Matrix Partners
Telangana,Hyderabad,80905,14201,43923,9,4.86,Fintech,AI-driven financial advisory platform,Matrix Partners
Karnataka,Mysore,56328,36820,100401,33,2.73,SaaS,Cloud-based HR management software,Y Combinator
Karnataka,Mysore,73053,14666,128255,12,3.2,E-commerce,Online marketplace for niche products,SoftBank
Karnataka,Mysore,84195,2938,94425,8,1.65,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Tamil Nadu,Madurai,20582,9556,197155,25,2.69,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Tamil Nadu,Chennai,88531,16262,119328,21,2.92,Logistics,Last-mile delivery optimization software,Elevation Capital
Gujarat,Surat,68767,40011,46517,29,8.48,FoodTech,Subscription-based organic meal plans,Elevation Capital
Delhi,New Delhi,75401,39994,66046,12,7.23,Logistics,Last-mile delivery optimization software,Elevation Capital
Karnataka,Bangalore,69332,44518,28405,44,9.18,Logistics,Last-mile delivery optimization software,Y Combinator
Delhi,New Delhi,88865,9817,149164,30,6.55,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Gujarat,Ahmedabad,55992,41437,123509,13,1.59,Real Estate,AI-powered property valuation tool,Accel Partners
Gujarat,Ahmedabad,72917,28396,51111,27,5.29,Logistics,Last-mile delivery optimization software,Y Combinator
West Bengal,Kolkata,10303,36385,137108,41,2.85,Fintech,AI-driven financial advisory platform,Accel Partners
Rajasthan,Jodhpur,47764,6424,171266,40,1.81,Edtech,Gamified learning platform for kids,Blume Ventures
Maharashtra,Mumbai,11573,11404,134060,25,1.61,SaaS,Cloud-based HR management software,Lightspeed Ventures
Telangana,Hyderabad,40129,1298,188009,14,2.37,Fintech,AI-driven financial advisory platform,Elevation Capital
Rajasthan,Jaipur,44403,49883,135866,37,6.1,E-commerce,Online marketplace for niche products,Elevation Capital
Rajasthan,Jaipur,18196,32119,90787,10,4.4,Renewable Energy,Solar panel efficiency optimizer,Lightspeed Ventures
Madhya Pradesh,Bhopal,73417,15982,121559,37,3.36,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Rajasthan,Jaipur,74599,47837,109432,26,4.48,Edtech,Gamified learning platform for kids,Sequoia Capital
Gujarat,Vadodara,76251,44158,41217,43,9.79,Real Estate,AI-powered property valuation tool,Sequoia Capital
Gujarat,Ahmedabad,26464,38780,130788,28,7.53,AI/ML,Predictive analytics for businesses,SoftBank
Uttar Pradesh,Lucknow,28447,48238,32138,23,5.04,E-commerce,Online marketplace for niche products,Matrix Partners
Madhya Pradesh,Bhopal,22274,49535,165856,25,6.26,Edtech,Gamified learning platform for kids,Elevation Capital
West Bengal,Howrah,10501,46579,89002,12,8.27,FoodTech,Subscription-based organic meal plans,Y Combinator
West Bengal,Howrah,19752,31592,140849,23,9.89,SaaS,Cloud-based HR management software,General Catalyst
Telangana,Warangal,23701,49882,111851,49,4.67,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Maharashtra,Nagpur,22273,39518,45156,41,3.86,Renewable Energy,Solar panel efficiency optimizer,Lightspeed Ventures
Gujarat,Surat,17426,18532,39420,34,2.89,E-commerce,Online marketplace for niche products,Accel Partners
Telangana,Hyderabad,12793,5188,164638,11,2.7,FoodTech,Subscription-based organic meal plans,SoftBank
Telangana,Hyderabad,96066,14288,155531,35,2.85,Renewable Energy,Solar panel efficiency optimizer,Lightspeed Ventures
West Bengal,Kolkata,65849,11526,192593,50,3.4,Logistics,Last-mile delivery optimization software,General Catalyst
Karnataka,Bangalore,40285,46262,149189,32,6.95,SaaS,Cloud-based HR management software,Elevation Capital
Tamil Nadu,Madurai,80704,29772,43668,40,2.05,E-commerce,Online marketplace for niche products,Matrix Partners
Maharashtra,Pune,82614,35412,83998,40,2.45,Real Estate,AI-powered property valuation tool,Elevation Capital
Telangana,Warangal,27834,30576,187351,21,2.94,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Telangana,Warangal,30946,42792,150202,24,3.24,Logistics,Last-mile delivery optimization software,Y Combinator
Gujarat,Vadodara,50920,13714,33889,11,3.11,AI/ML,Predictive analytics for businesses,Sequoia Capital
West Bengal,Kolkata,97303,39756,198466,32,2.12,Logistics,Last-mile delivery optimization software,SoftBank
Maharashtra,Pune,87906,35985,35231,41,9.62,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Maharashtra,Pune,10418,24344,56495,7,6.52,Edtech,Gamified learning platform for kids,Tiger Global
Gujarat,Surat,99616,29627,79684,37,8.62,Fintech,AI-driven financial advisory platform,SoftBank
Gujarat,Surat,56043,3525,180742,21,6.75,AI/ML,Predictive analytics for businesses,Blume Ventures
Maharashtra,Mumbai,70166,8579,109328,47,7.18,Real Estate,AI-powered property valuation tool,Elevation Capital
Tamil Nadu,Chennai,32476,48859,40030,18,6.56,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Madhya Pradesh,Indore,86732,38363,60756,47,6.26,Edtech,Gamified learning platform for kids,Accel Partners
Telangana,Warangal,90572,45707,127017,8,9.28,Edtech,Gamified learning platform for kids,Sequoia Capital
Rajasthan,Jodhpur,20215,48300,120521,17,6.41,Real Estate,AI-powered property valuation tool,Blume Ventures
Tamil Nadu,Madurai,97371,45403,157823,13,2.48,Real Estate,AI-powered property valuation tool,Elevation Capital
Maharashtra,Mumbai,70988,32160,188838,7,9.24,FoodTech,Subscription-based organic meal plans,Y Combinator
Delhi,New Delhi,74663,9055,124165,10,4.85,SaaS,Cloud-based HR management software,General Catalyst
Rajasthan,Jaipur,64306,6843,139108,47,5.08,Real Estate,AI-powered property valuation tool,Elevation Capital
Gujarat,Vadodara,70612,10330,179867,50,4.14,Real Estate,AI-powered property valuation tool,Sequoia Capital
Rajasthan,Jodhpur,69415,45739,38017,36,2.55,SaaS,Cloud-based HR management software,Sequoia Capital
Tamil Nadu,Coimbatore,67981,38080,79560,7,8.64,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Rajasthan,Jodhpur,51465,30384,136426,27,1.5,FoodTech,Subscription-based organic meal plans,Tiger Global
Telangana,Hyderabad,53398,11547,102197,41,9.47,Fintech,AI-driven financial advisory platform,General Catalyst
Delhi,New Delhi,10901,11903,38404,28,1.91,AI/ML,Predictive analytics for businesses,Tiger Global
Maharashtra,Pune,22061,35619,35438,12,1.21,FoodTech,Subscription-based organic meal plans,Blume Ventures
Karnataka,Bangalore,74074,33914,97102,35,6.84,Edtech,Gamified learning platform for kids,General Catalyst
Karnataka,Hubli,97567,23513,46636,25,7.45,Logistics,Last-mile delivery optimization software,Tiger Global
Gujarat,Surat,64233,14002,170543,41,2.94,Edtech,Gamified learning platform for kids,SoftBank
Rajasthan,Jaipur,21669,19604,80955,42,1.48,SaaS,Cloud-based HR management software,Tiger Global
Gujarat,Ahmedabad,63505,31878,86183,5,5.18,Real Estate,AI-powered property valuation tool,Sequoia Capital
Gujarat,Vadodara,91231,11895,171552,15,9.34,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Madhya Pradesh,Indore,32490,3683,48543,22,1.45,AI/ML,Predictive analytics for businesses,Accel Partners
West Bengal,Kolkata,44967,43783,193915,1,1.35,SaaS,Cloud-based HR management software,SoftBank
Karnataka,Bangalore,59858,14738,39055,43,7.86,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Tamil Nadu,Chennai,53657,38971,145110,20,3.47,Edtech,Gamified learning platform for kids,Tiger Global
Maharashtra,Mumbai,91521,31068,121054,15,3.39,Real Estate,AI-powered property valuation tool,Lightspeed Ventures
West Bengal,Howrah,22465,13700,26832,44,7.59,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
West Bengal,Howrah,74677,3475,99658,49,5.46,AI/ML,Predictive analytics for businesses,Y Combinator
West Bengal,Howrah,53378,30708,120197,32,7.29,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Maharashtra,Mumbai,60964,5827,65642,9,2.67,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Madhya Pradesh,Bhopal,57617,39213,135599,38,2.93,E-commerce,Online marketplace for niche products,Sequoia Capital
Madhya Pradesh,Bhopal,63104,10662,66766,23,6.95,SaaS,Cloud-based HR management software,Matrix Partners
West Bengal,Howrah,25274,41921,196632,8,9.7,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Madhya Pradesh,Bhopal,65988,43336,53479,48,7.77,AI/ML,Predictive analytics for businesses,General Catalyst
Tamil Nadu,Madurai,58054,33958,68232,7,7.04,Real Estate,AI-powered property valuation tool,Tiger Global
Maharashtra,Mumbai,96349,14788,122069,41,1.52,E-commerce,Online marketplace for niche products,Blume Ventures
Gujarat,Ahmedabad,97982,12936,116545,7,6.52,AI/ML,Predictive analytics for businesses,Y Combinator
Maharashtra,Mumbai,52681,20481,141501,48,1.77,AI/ML,Predictive analytics for businesses,Blume Ventures
West Bengal,Kolkata,13584,38389,139031,14,6.79,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Uttar Pradesh,Noida,56404,42835,60824,8,5.13,Logistics,Last-mile delivery optimization software,Accel Partners
Tamil Nadu,Chennai,25734,17386,24247,8,6.47,Edtech,Gamified learning platform for kids,SoftBank
Uttar Pradesh,Noida,49303,37751,65153,4,3.17,AI/ML,Predictive analytics for businesses,Sequoia Capital
West Bengal,Kolkata,84250,48493,166545,48,6.87,E-commerce,Online marketplace for niche products,General Catalyst
Maharashtra,Mumbai,87222,9863,182715,39,2.98,Logistics,Last-mile delivery optimization software,Accel Partners
Karnataka,Mysore,92409,36347,127403,19,2.73,Logistics,Last-mile delivery optimization software,Matrix Partners
Delhi,New Delhi,68541,48316,197888,31,9.02,SaaS,Cloud-based HR management software,Elevation Capital
Gujarat,Ahmedabad,13323,20397,124763,39,2.82,E-commerce,Online marketplace for niche products,Blume Ventures
Tamil Nadu,Madurai,16005,14563,48766,24,1.02,Real Estate,AI-powered property valuation tool,Accel Partners
Gujarat,Surat,47924,43093,153233,9,7.05,Fintech,AI-driven financial advisory platform,Accel Partners
Uttar Pradesh,Lucknow,13343,48543,109408,46,1.14,Fintech,AI-driven financial advisory platform,General Catalyst
Delhi,New Delhi,14406,7233,53874,16,5.51,FoodTech,Subscription-based organic meal plans,Elevation Capital
Karnataka,Hubli,66762,9682,150190,42,4.76,Real Estate,AI-powered property valuation tool,Elevation Capital
Karnataka,Hubli,71122,14301,74940,37,3.11,E-commerce,Online marketplace for niche products,Sequoia Capital
West Bengal,Howrah,41860,31534,199923,23,3.54,Real Estate,AI-powered property valuation tool,Tiger Global
Delhi,New Delhi,91406,21208,55040,35,2.87,SaaS,Cloud-based HR management software,Y Combinator
West Bengal,Kolkata,74090,19685,37979,5,5.1,SaaS,Cloud-based HR management software,Matrix Partners
Delhi,New Delhi,53324,49059,123537,30,9.97,SaaS,Cloud-based HR management software,Accel Partners
Karnataka,Bangalore,98716,15000,31465,7,4.18,Fintech,AI-driven financial advisory platform,Accel Partners
Gujarat,Ahmedabad,31829,26361,32780,11,7.94,Renewable Energy,Solar panel efficiency optimizer,SoftBank
Maharashtra,Nagpur,72991,30395,77495,24,9.34,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Madhya Pradesh,Indore,95419,9589,130650,22,9.81,FoodTech,Subscription-based organic meal plans,Matrix Partners
Uttar Pradesh,Kanpur,17426,34944,23110,45,3.54,Real Estate,AI-powered property valuation tool,Blume Ventures
Telangana,Warangal,51958,18471,115152,33,3.54,SaaS,Cloud-based HR management software,Sequoia Capital
